patente,encontradaPor,fecha,vehiculo,horaDelDia
000,Prada,17/3/2024,Auto,18
001,Germo,23/3/2024,Auto,12
002,Estani,23/2/2024,Auto,17
003,Prada,24/3/2024,Auto,0
004,Estani,26/3/2024,Auto,14
005,Estani,26/3/2024,Auto,14
006,Estani,26/3/2024,Auto,14
007,Prada,28/3/2024,Auto,7
008,Estani,31/3/2024,Auto,12
009,Estani,1/4/2024,Camioneta,14
010,Estani,1/4/2024,Auto,21
011,Estani,1/4/2024,Auto,21
012,Prada,1/4/2024,Auto,18
013,Estani,4/4/2024,Auto,9
014,Prada,8/4/2024,Auto,17
015,Estani,10/4/2024,Auto,16
016,Estani,15/4/2024,Auto,13
017,Estani,20/4/2024,Auto,13
018,Estani,23/4/2024,Auto,13
019,Chiche,25/4/2024,Camioneta,11
020,Chiche,26/4/2024,Auto,16
021,Estani,27/4/2024,Auto,0
022,Emi,27/4/2024,Auto,17
023,Estani,29/4/2024,Auto,19
024,Prada,30/4/2024,Auto,22
025,Prada,30/4/2024,Auto,22
026,Prada,1/5/2024,Auto,14
027,Estani,3/5/2024,Auto,17
028,Estani,4/5/2024,Auto,12
029,Germo,4/5/2024,Auto,9
030,Chiche,4/5/2024,Auto,11
031,Estani,5/5/2024,Moto,16
032,Estani,7/5/2024,Auto,14
033,Chiche,8/5/2024,Auto,12
034,Estani,9/5/2024,Auto,18
035,Estani,10/5/2024,Camioneta,11
036,Estani,11/5/2024,Auto,17
037,Estani,19/5/2024,Moto,13
038,Chiche,20/5/2024,Auto,11
039,Prada,21/5/2024,Auto,13
040,Estani,26/5/2024,Auto,13
041,Estani,27/5/2024,Auto,10
042,Estani,30/5/2024,Auto,9
043,Estani,3/6/2024,Auto,12
044,Chiche,3/6/2024,Camion,19
045,Estani,5/6/2024,Auto,16
046,Estani,8/6/2024,Auto,19
047,Estani,12/6/2024,Auto,12
048,Chiche,14/6/2024,Camioneta,11
049,Germo,14/6/2024,Auto,11
050,Estani,14/6/2024,Auto,17
051,Estani,14/6/2024,Auto,18
